ticker,issue_type,date,severity,status,fix,notes
TECX,price_reverse_split,2024-06-24,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:12 on 2024-06-24. Raw prices in price_history.csv; adjusted in split_adj.csv
VTYX,price_forward_split,2023-11-07,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2023-11-07. Raw prices in price_history.csv; adjusted in split_adj.csv
CNTA,acquired_in_universe,2026-03,HIGH,OPEN,no_fix,Acquired by Eli Lilly. Still trading at acquisition price.
IMVT,acquired_in_universe,2024,HIGH,OPEN,no_fix,Acquired by Roche. Still trading as CVR/stub.
BHVN,acquired_in_universe,2024-10,HIGH,OPEN,no_fix,Acquired by AbbVie. Trading as CVR/transition.
MULTIPLE,stale_cusip_map,ongoing,MODERATE,OPEN,no_fix,"58 tickers in cusip_static_map.json not in universe. Includes defunct (CDTX, CVAC, FGEN, MRSN, RAPT, etc.) and renamed tickers. Stale entries don't cause errors but waste lookup cycles."
MULTIPLE,missing_cusip,ongoing,LOW,OPEN,no_fix,"12 universe tickers lack CUSIP mapping: AKTX, CADL, CRL, DFTX, DRMA, LBRX, MENS, NBP, OABI, QSI, TEVA, TKNO. These tickers get zero 13F holdings data."
BEAM,multi_cusip,ongoing,LOW,OPEN,no_fix,"Maps to CUSIPs ['07373V105', '07400F101']. Second CUSIP may be convertible/warrant. Holdings may be double-counted if both CUSIPs report positions."
GH,multi_cusip,ongoing,LOW,OPEN,no_fix,"Maps to CUSIPs ['40131M109', '40131MAB5']. Second CUSIP may be convertible/warrant. Holdings may be double-counted if both CUSIPs report positions."
IMCR,multi_cusip,ongoing,LOW,OPEN,no_fix,"Maps to CUSIPs ['45258D105', '45258DAB1']. Second CUSIP may be convertible/warrant. Holdings may be double-counted if both CUSIPs report positions."
ZVRA,multi_cusip,ongoing,LOW,OPEN,no_fix,"Maps to CUSIPs ['488445206', '98989K200']. Second CUSIP may be convertible/warrant. Holdings may be double-counted if both CUSIPs report positions."
AKRO,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
ATXS,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
CDTX,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
CVAC,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
DVAX,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
FGEN,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
GBIO,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
LYRA,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
MNMD,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
MRSN,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
MRUS,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
RAPT,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
VTYX,orphan_price_series,ongoing,LOW,BENIGN,no_fix,Price data exists for removed/excluded ticker. Causes no production harm; used only in historical research.
