ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
CRSP,CRISPR Therapeutics AG,11,6.51,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.095611,0.745902,0.4955,-0.9192,0.3272,,103,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,31,0.1
NUVB,Nuvation Bio Inc.,12,5.53,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.211599,0.751366,0.4941,-0.9393,0.2756,,134,specific_days,9,neutral,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,68,0.1
ARTV,"Artiva Biotherapeutics, Inc.",13,4.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.051724,0.734973,-0.1174,-0.8932,0.394,,43,specific_days,3,neutral,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,mid|near_31_90|pos,0.1,,drug_developer,17,0.1
KOD,Kodiak Sciences Inc,14,5.53,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.691223,0.969945,0.4465,-1.5316,-1.2459,,165,specific_days,3,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,late|near_91_180|nonpos,0.0743638577586207,,drug_developer,221,0.0743638577586207
DNTH,"Dianthus Therapeutics, Inc.",15,5.53,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.672414,0.953552,0.4428,-1.5316,-1.2459,,133,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,late|near_91_180|nonpos,0.0743638577586207,,drug_developer,215,0.0743638577586207
CNTA,Centessa Pharmaceuticals plc,16,5.53,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.089342,0.948087,0.4353,-1.5316,-1.2459,,72,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_31_90|nonpos,0.1,,drug_developer,29,0.1
SION,"Sionna Therapeutics, Inc.",17,3.32,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,0.942623,-1.1586,-1.5287,-1.2384,,104,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,mid|near_91_180|nonpos,0.0646411489361702,,drug_developer,261,0.0646411489361702
NUVL,"Nuvalent, Inc.",18,5.53,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.387147,0.937158,0.2773,-1.5068,-1.1822,,12,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_0_30|nonpos,0.0960316059225512,,drug_developer,124,0.0960316059225512
VERA,"Vera Therapeutics, Inc.",19,6.51,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.405956,0.92623,0.4662,-1.481,-1.1158,,26,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,late|near_0_30|nonpos,0.0960316059225512,,drug_developer,130,0.0960316059225512
PEPG,PepGen Inc.,20,4.56,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.81348,0.920765,-0.1467,-1.4701,-1.0878,,165,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,mid|near_91_180|nonpos,0.0646411489361702,,drug_developer,260,0.0646411489361702
